Latitude,Longitude
35.9403,-89.8308
70.3167,-149.5833
61.8167,-147.55
41.5,-71.35
60.3667,-151.3833
32.835,-114.1883
59.555,-154.4983
18.2708,-65.7592
40.6242,-111.7869
41.8328,-112.0558
38.46,-109.8214
37.7333,-122.3167
45.0669,-102.9956
38.5278,-81.9153
44.6264,-73.3031
37.8622,-112.8292
38.2917,-111.2622
37.1047,-111.9
32.0819,-101.4842
39.2453,-112.1067
44.3564,-117.255
40.2156,-79.4994
45.8069,-108.5422
44.2378,-72.9656
43.2619,-89.735
27.7792,-97.5056
45.8003,-91.4594
41.0497,-112.9367
34.1667,-91.9333
38.5911,-92.1558
69.3694,-152.14
30.5069,-86.9597
43.1833,-101.6333
41.25,-70.0667
34.3494,-111.6981
40.475,-86.9919
46.7181,-93.07
31.05,-93.1833
22.0333,-159.7833
32.9308,-106.9328
39.8167,-78.8333
45.4178,-101.81
33.25,-119.45
27.6531,-80.2428
31.4831,-111.5436
37.0911,-95.5664
43.9919,-100.1617
30.2,-101.8333
40.2167,-117.6833
41.74,-121.5067
33.8097,-111.6497
43.175,-102.7458
34.2308,-118.0711
38.5006,-120.2189
20.5569,-156.575
44.3753,-68.5125
40.58,-85.6586
57.8047,-152.3542
67.25,-162.8
70.4322,-150.4094
68.0781,-149.5647
39.4519,-87.3089
41.5114,-87.0378
17.9556,-66.2222
32.9203,-94.7225
38.6786,-87.4633
38.7386,-87.4878
44.0828,-115.6186
30.6883,-88.2456
38.2692,-87.1631
18.4533,-66.6747
42.0489,-101.0542
45.4667,-69.5833
31.15,-92.9667
39.5719,-103.2922
36.2656,-117.1853
38.87,-100.9628
40.915,-116.3175
42.15,-70.9333
36.6239,-116.0225
38.4231,-115.0225
41.6678,-79.0186
30.85,-92.7833
40.1606,-113.3508
41.3975,-110.0856
30.1247,-93.2283
42.4833,-78.9333
48.9992,-108.3894
39.0131,-79.4742
35.6375,-83.0956
41.4833,-79.4333
37.6344,-91.7225
41.1386,-75.2225
46.6106,-69.5219
41.3931,-70.615
37.1431,-114.0214
59.7444,-151.5514
58.25,-134.9
35.1664,-107.8992
40.1839,-112.9217
37.55,-83.7667
38.9136,-88.1183
37.7256,-107.2678
59.4503,-136.3614
52.7167,174.1
45.3783,-96.1542
36.8753,-92.8514
