Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Capacity (MW),Operating Year,Sector Name,Sector,Energy Source 1,Energy source code
195,Alabama Power Co,2,Bankhead Dam,AL,Tuscaloosa,1,Conventional Hydroelectric,HY,53.0,1963,Electric Utility,1,WAT,8
195,Alabama Power Co,3,Barry,AL,Mobile,1,Natural Gas Steam Turbine,ST,55.0,1954,Electric Utility,1,NG,3
195,Alabama Power Co,3,Barry,AL,Mobile,2,Natural Gas Steam Turbine,ST,55.0,1954,Electric Utility,1,NG,3
195,Alabama Power Co,3,Barry,AL,Mobile,4,Conventional Steam Coal,ST,362.0,1969,Electric Utility,1,BIT,1
195,Alabama Power Co,3,Barry,AL,Mobile,5,Conventional Steam Coal,ST,756.5,1971,Electric Utility,1,BIT,1
195,Alabama Power Co,3,Barry,AL,Mobile,A1CT,Natural Gas Fired Combined Cycle,CT,180.3,2000,Electric Utility,1,NG,3
195,Alabama Power Co,3,Barry,AL,Mobile,A1CT2,Natural Gas Fired Combined Cycle,CT,180.3,2000,Electric Utility,1,NG,3
195,Alabama Power Co,3,Barry,AL,Mobile,A1ST,Natural Gas Fired Combined Cycle,CA,198.0,2000,Electric Utility,1,NG,3
195,Alabama Power Co,3,Barry,AL,Mobile,A2C1,Natural Gas Fired Combined Cycle,CT,181.9,2000,Electric Utility,1,NG,3
195,Alabama Power Co,3,Barry,AL,Mobile,A2C2,Natural Gas Fired Combined Cycle,CT,181.9,2000,Electric Utility,1,NG,3
195,Alabama Power Co,3,Barry,AL,Mobile,A2ST,Natural Gas Fired Combined Cycle,CA,200.6,2000,Electric Utility,1,NG,3
195,Alabama Power Co,4,Walter Bouldin Dam,AL,Elmore,1,Conventional Hydroelectric,HY,74.7,1967,Electric Utility,1,WAT,8
195,Alabama Power Co,4,Walter Bouldin Dam,AL,Elmore,2,Conventional Hydroelectric,HY,74.7,1967,Electric Utility,1,WAT,8
195,Alabama Power Co,4,Walter Bouldin Dam,AL,Elmore,3,Conventional Hydroelectric,HY,74.7,1967,Electric Utility,1,WAT,8
195,Alabama Power Co,7,Gadsden,AL,Etowah,1,Natural Gas Steam Turbine,ST,64.0,1949,Electric Utility,1,NG,3
195,Alabama Power Co,7,Gadsden,AL,Etowah,2,Natural Gas Steam Turbine,ST,66.0,1949,Electric Utility,1,NG,3
