State,State Abbr,Place,% Sun,Total Hours,Clear Days
Alabama,AL,Birmingham,58,2641,99
Alaska,AK,Anchorage,41,2061,61
Arizona,AZ,Tucson,85,3806,193
Arkansas,AR,Fort Smith,61,2771,123
California,CA,San Diego,68,3055,146
Colorado,CO,Grand Junction,71,3204,136
Connecticut,CT,Hartford,56,2585,82
Delaware,DE,Wilmington,56,2542,97
Florida,FL,Tampa,66,2927,101
Georgia,GA,Macon,66,2986,112
Hawaii,HI,Honolulu,71,3124,90
Idaho,ID,Boise,64,2993,120
Illinois,IL,Peoria,56,2567,95
Indiana,IN,Indianapolis,55,2440,88
Iowa,IA,Des Moines,59,2691,105
Kansas,KS,Wichita,65,2922,128
Kentucky,KY,Louisville,56,2514,93
Louisiana,LA,New Orleans,57,2649,101
Maine,ME,Portland,57,2513,101
Maryland,MD,Baltimore,57,2582,105
Massachusetts,MA,Boston,58,2634,98
Michigan,MI,Lansing,51,2392,71
Minnesota,MN,Minneapolis,58,2711,95
Mississippi,MS,Jackson,61,2720,111
Missouri,MO,Springfield,60,2690,115
Montana,MT,Helena,59,2698,82
Nebraska,NE,Lincoln,61,2762,117
Nevada,NV,Reno,79,3646,158
New Hampshire,NH,Concord,54,2519,90
New Jersey,NJ,Atlantic City,56,2499,94
New Mexico,NM,Albuquerque,76,3415,167
New York,NY,Syracuse,46,2120,63
North Carolina,NC,Greensboro,60,2651,109
North Dakota,ND,Bismarck,59,2738,93
Ohio,OH,Columbus,50,2183,72
Oklahoma,OK,Oklahoma City,68,3089,139
Oregon,OR,Portland,48,2341,68
Pennsylvania,PA,Harrisburg,58,2614,87
Rhode Island,RI,Providence,58,2606,98
South Carolina,SC,Columbia,64,2826,115
South Dakota,SD,Huron,63,2947,104
Tennessee,TN,Nashville,56,2510,102
Texas,TX,Dallas,61,2850,135
Utah,UT,Salt Lake City,66,3029,125
Vermont,VT,Burlington,49,2295,58
Virginia,VA,Richmond,63,2829,100
Washington,WA,Seattle,47,2170,58
West Virginia,WV,Beckley,50,2332,60
Wisconsin,WI,Madison,54,2428,89
Wyoming,WY,Lander,68,3073,114
